STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
29,207,529,862,16,311,0,311,691,516,175,33,57,224,677,4222,1497,2725,1188,124,1499,13,133,15705,262,325,0,1653,0,1205,10554,40283
4,208,634,294,21,1363,2,1361,1795,1564,231,263,22,243,1286,2185,183,2002,5698,712,953,98,421,4885,118,1549,15,4331,0,1905,6385,35176
21,209,538,363,17,178,0,178,122,114,8,247,27,290,1675,4158,1118,3040,1678,288,777,19,143,4450,66,361,96,2080,0,2910,8667,29150
3,210,36,35,1,30,0,30,48,36,12,23,0,45,133,273,40,233,28,13,18,2,12,298,0,36,0,17,0,29,367,1444
4,211,1199,233,52,591,0,591,1111,512,599,122,4,309,1238,5099,612,4487,420,376,400,25,294,4048,29,564,0,1075,0,1976,6517,25682
25,212,323,83,16,63,0,63,225,38,187,44,0,729,466,1828,613,1215,8,84,139,23,24,131,0,50,5,7,1,232,934,5415
31,213,721,774,1,170,0,170,554,483,71,30,0,299,1217,4735,1126,3609,749,98,906,31,237,5556,44,455,99,764,5,4872,37766,60083
20,214,243,62,28,370,0,370,27,22,5,2,0,27,451,340,92,248,90,33,103,1,39,1381,26,687,45,201,0,446,5862,10464
9,215,4,6,0,3,0,3,6,4,2,2,0,5,57,78,47,31,52,8,11,20,4,31,1,0,1,17,0,56,188,550
15,216,601,830,5,168,0,168,355,336,19,17,0,31,473,449,16,433,240,78,86,3,212,234,0,191,59,121,0,162,4680,8995
16,217,748,639,53,557,0,557,313,179,134,100,4,125,690,2027,436,1591,1046,212,216,0,128,2338,113,245,7,534,4,829,5555,16483
29,218,298,164,9,259,0,259,565,532,33,7,3,136,607,802,272,530,1147,218,544,3,247,1858,66,643,2,935,0,1249,12698,22460
7,219,898,682,24,1402,0,1402,490,368,122,46,21,703,6527,10102,3216,6886,702,189,1254,70,337,5234,148,2835,329,1491,1,3039,50643,87167
