STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
PUNJAB,MUKTSAR,274,339,41,149,0,149,178,119,59,10,23,32,734,1082,411,671,1,158,619,18,19,1699,41,88,3,229,0,652,1917,8306
PUNJAB,"NAWAN SHAHR",129,147,9,82,0,82,89,61,28,10,14,63,399,614,178,436,0,20,542,9,14,1394,22,53,4,146,0,514,907,5181
PUNJAB,PATIALA,594,587,108,322,0,322,470,366,104,22,108,75,2437,4201,1999,2202,0,239,3023,36,41,4469,119,422,25,1403,0,3791,13793,36285
PUNJAB,ROPAR,249,153,26,136,0,136,206,122,84,5,30,28,858,1576,638,938,0,82,1084,7,35,1329,44,155,29,302,0,2010,4698,13042
PUNJAB,SANGRUR,457,534,90,289,0,289,278,175,103,37,67,81,1416,2127,850,1277,0,224,1505,26,48,2582,92,200,29,575,0,1708,6406,18771
PUNJAB,"TARN TARAN",470,436,41,221,1,220,214,148,66,28,42,48,572,964,223,741,0,90,1060,84,0,1815,57,169,1,231,0,886,2521,9950
PUNJAB,TOTAL,9493,10397,1558,5459,1,5458,7619,5385,2234,460,1336,1828,27621,50503,21254,29249,34,3596,37936,743,907,56920,1546,4047,762,11998,2,33339,116027,384131
RAJASTHAN,AJMER,538,642,60,516,0,516,1256,1112,144,29,17,371,3507,8954,4143,4811,589,273,7106,44,190,4138,173,1023,8,5489,0,4889,37919,77731
RAJASTHAN,ALWAR,1019,975,38,899,0,899,1598,1151,447,17,94,503,2563,17664,10147,7517,957,339,7895,42,348,27728,482,1479,2,4781,0,4610,27345,101378
RAJASTHAN,BANSWARA,403,223,12,586,0,586,699,647,52,15,23,147,880,1358,428,930,1701,71,912,9,349,11890,75,866,20,1477,0,1224,9233,32173
RAJASTHAN,BARAN,403,952,25,641,0,641,810,791,19,8,18,142,1368,3655,963,2692,390,199,2076,10,224,4302,76,1864,33,2610,0,1111,18468,39385
RAJASTHAN,BARMER,256,307,16,244,0,244,329,277,52,1,0,70,1197,2655,994,1661,212,106,2252,17,250,7119,169,914,0,1390,0,1688,14585,33777
RAJASTHAN,BHARATPUR,983,1001,27,751,0,751,1646,1213,433,61,83,377,1002,11888,5348,6540,506,311,5860,26,407,8099,331,618,1,4103,0,2549,50404,91034
RAJASTHAN,BHILWARA,398,532,41,554,0,554,1506,1261,245,13,9,513,3119,8828,4001,4827,1192,218,4844,19,251,1982,108,1176,17,4770,0,3095,31450,64635
RAJASTHAN,BIKANER,478,982,32,466,0,466,395,346,49,8,2,103,1601,4328,1329,2999,129,186,4237,14,185,6008,183,691,0,3447,0,2275,19958,45708
RAJASTHAN,BUNDI,273,830,44,455,0,455,1057,878,179,15,2,177,1424,3382,1164,2218,708,137,1976,6,190,9853,51,1456,13,2819,0,1399,15014,41281
RAJASTHAN,CHITTORGARH,512,506,34,738,0,738,1709,1389,320,23,51,385,2857,6881,2340,4541,1836,400,3523,26,438,19974,78,1264,22,5473,0,2393,18445,67568
RAJASTHAN,CHURU,339,424,14,360,0,360,388,222,166,10,4,53,1155,2357,520,1837,505,108,3335,9,164,7861,133,418,4,2840,0,1530,11938,33949
RAJASTHAN,DAUSA,355,262,20,185,0,185,758,508,250,11,19,151,1071,7905,4092,3813,1319,149,2697,11,181,1099,141,273,0,1363,0,2443,30684,51097
RAJASTHAN,DHOLPUR,529,862,16,311,0,311,691,516,175,33,57,224,677,4222,1497,2725,1188,124,1499,13,133,15705,262,325,0,1653,0,1205,10554,40283
RAJASTHAN,DUNGARPUR,298,164,9,259,0,259,565,532,33,7,3,136,607,802,272,530,1147,218,544,3,247,1858,66,643,2,935,0,1249,12698,22460
RAJASTHAN,G.R.P.,44,38,6,11,0,11,40,19,21,15,11,61,20,4615,153,4462,57,26,53,11,4,36,9,131,7,1,0,23,3017,8236
RAJASTHAN,GANGANAGAR,691,1066,11,791,0,791,792,685,107,4,10,143,2379,4605,1438,3167,114,458,7757,37,110,12004,192,844,16,6060,0,1868,22923,62875
RAJASTHAN,HANUMANGARH,611,971,11,592,0,592,469,363,106,8,15,114,1286,3092,790,2302,221,174,5121,13,123,5339,184,888,3,3529,1,1393,19428,43586
RAJASTHAN,JAIPUR,439,531,39,338,0,338,1167,956,211,26,21,320,4822,17441,7306,10135,8649,1154,7308,99,264,7996,172,1006,9,2526,0,4192,41008,99527
RAJASTHAN,JAISALMER,81,31,2,45,0,45,113,67,46,2,0,40,646,1546,279,1267,198,35,680,8,81,1420,68,202,0,245,1,537,5450,11431
RAJASTHAN,JALORE,269,240,9,134,0,134,398,308,90,7,1,74,968,1933,537,1396,209,151,1488,29,251,542,121,589,0,1239,0,1137,19270,29059
RAJASTHAN,JHALAWAR,500,945,47,661,0,661,858,629,229,20,96,278,1498,4658,1797,2861,1014,126,1503,15,467,10760,94,1978,50,3256,0,1306,12560,42690
RAJASTHAN,JHUNJHUNU,459,242,8,416,0,416,573,413,160,10,9,92,1477,3861,967,2894,951,162,3540,11,289,6135,170,570,0,2342,0,1816,23804,46937
RAJASTHAN,JODHPUR,203,432,11,135,0,135,419,302,117,7,2,186,1747,5218,2273,2945,553,324,2560,17,201,11653,75,580,19,1303,1,1227,6948,33821
RAJASTHAN,KARAULI,372,375,10,403,0,403,922,600,322,12,15,194,414,5426,2381,3045,320,148,1774,9,233,771,170,459,0,1370,0,1003,29350,43750
RAJASTHAN,KOTA,240,1579,14,204,0,204,686,580,106,7,10,284,1779,5577,2520,3057,529,194,1790,15,153,3081,47,843,13,1706,0,844,14340,33935
